Fecha;Canal;Hora;Programa;Espectadores;Share(%);
2019-04-03;LA1;06:30;TELEDIARIO MATINAL;236.000;18.3%;
2019-04-03;LA1;08:26;LOS DESAYUNOS DE TVE / LUIS PLANAS;247.000;11.5%;
2019-04-03;LA1;10:00;LA MAÑANA;253.000;7.7%;
2019-04-03;LA1;13:24;HACER DE COMER / ENSALADA DE QUINOA;403.000;6.3%;
2019-04-03;LA1;13:55;CERCA DE TI;6.000;0.1%;
2019-04-03;LA1;13:59;D.REG(INFORMATIVO TERRITORIAL 1);658.000;7.6%;
2019-04-03;LA1;13:59;INFORMATIVO TERRITORIAL 1;653.000;7.5%;
2019-04-03;LA1;13:59;L'INFORMATIU COMUNITAT VALENCIANA 1;101.000;1.2%;
2019-04-03;LA1;13:59;L'INFORMATIU MIGDIA 1;80.000;0.9%;
2019-04-03;LA1;13:59;INFORMATIVO MADRID 1;72.000;0.8%;
2019-04-03;LA1;13:59;NOTICIAS ANDALUCIA 1;69.000;0.8%;
2019-04-03;LA1;13:59;NOTICIAS CASTILLA Y LEON 1;56.000;0.6%;
2019-04-03;LA1;13:59;NOTICIAS CASTILLA-LA MANCHA 1;42.000;0.5%;
2019-04-03;LA1;13:59;TELENORTE 1;34.000;0.4%;
2019-04-03;LA1;13:59;TELEXORNAL 1;29.000;0.3%;
2019-04-03;LA1;13:59;INFORMATIU BALEAR 1;19.000;0.2%;
2019-04-03;LA1;13:59;PANORAMA REGIONAL 1;16.000;0.2%;
2019-04-03;LA1;13:59;PROGRAMACION REGIONAL;94.000;1.1%;
2019-04-03;LA1;13:59;NOTICIAS MURCIA 1;25.000;0.3%;
2019-04-03;LA1;13:59;NOTICIAS ARAGON 1;13.000;0.1%;
2019-04-03;LA1;13:59;FLASH MODA MONOGRAFICOS / PURIFICACION GARCIA:MANUAL DE ESTILO;5.000;0.1%;
2019-04-03;LA1;14:32;CORAZON;956.000;8.6%;
2019-04-03;LA1;15:05;TELEDIARIO 1;1.649.000;13.7%;
2019-04-03;LA1;16:01;TELECANARIAS 1;28.000;0.2%;
2019-04-03;LA1;16:31;SERVIR Y PROTEGER;1.093.000;10.1%;
2019-04-03;LA1;17:29;ACACIAS 38;868.000;8.8%;
2019-04-03;LA1;18:26;DERECHO A SOÑAR;425.000;4.5%;
2019-04-03;LA1;19:19;ESPAÑA DIRECTO;688.000;6.6%;
2019-04-03;LA1;20:30;AQUI LA TIERRA;1.279.000;9.7%;
2019-04-03;LA1;21:04;TELEDIARIO 2;1.662.000;10.1%;
2019-04-03;LA1;22:12;TVEMOS;917.000;5%;
2019-04-03;LA1;22:44;CINE / ARMAGEDDON;854.000;6.4%;
2019-04-03;LA1;01:02;CINE 2 / VENGANZA EN LA PRISION;237.000;5.1%;
2019-04-04;LA1;06:30;TELEDIARIO MATINAL;218.000;17.8%;
2019-04-04;LA1;08:26;LOS DESAYUNOS DE TVE;229.000;10.8%;
2019-04-04;LA1;09:34;LD:CONTINUACION / PABLO MONTESINOS;251.000;10.9%;
2019-04-04;LA1;10:02;LA MAÑANA;241.000;7.7%;
2019-04-04;LA1;13:24;HACER DE COMER / ZARZUELA DE MARISCO;376.000;6.4%;
