Fecha;Canal;Share(%);
2019-04-03;LA1;Share día: 8.4%;
2019-04-04;LA1;Share día: 8.9%;
2019-04-05;LA1;Share día: 8.6%;
2019-04-03;LA1;Share día: 8.4%;
2019-04-04;LA1;Share día: 8.9%;
2019-04-05;LA1;Share día: 8.6%;
2019-04-03;LA2;Share día: 2.8%;
2019-04-04;LA2;Share día: 3%;
2019-04-05;LA2;Share día: 3%;
2019-04-03;LA2;Share día: 2.8%;
2019-04-04;LA2;Share día: 3%;
2019-04-05;LA2;Share día: 3%;
2019-04-03;ANTENA-3;Share día: 14%;
2019-04-04;ANTENA-3;Share día: 12.6%;
2019-04-05;ANTENA-3;Share día: 11.9%;
2019-04-03;ANTENA-3;Share día: 14%;
2019-04-04;ANTENA-3;Share día: 12.6%;
2019-04-05;ANTENA-3;Share día: 11.9%;
2019-04-03;TELECINCO;Share día: 16%;
2019-04-04;TELECINCO;Share día: 17.6%;
2019-04-05;TELECINCO;Share día: 15.2%;
2019-04-03;TELECINCO;Share día: 16%;
2019-04-04;TELECINCO;Share día: 17.6%;
2019-04-05;TELECINCO;Share día: 15.2%;
2019-04-03;CUATRO;Share día: 4.6%;
2019-04-04;CUATRO;Share día: 4%;
2019-04-05;CUATRO;Share día: 4.6%;
2019-04-03;CUATRO;Share día: 4.6%;
2019-04-04;CUATRO;Share día: 4%;
2019-04-05;CUATRO;Share día: 4.6%;
2019-04-03;LA-SEXTA;Share día: 6.9%;
2019-04-04;LA-SEXTA;Share día: 8%;
2019-04-05;LA-SEXTA;Share día: 7.7%;
2019-04-03;LA-SEXTA;Share día: 6.9%;
2019-04-04;LA-SEXTA;Share día: 8%;
2019-04-05;LA-SEXTA;Share día: 7.7%;
2019-04-03;Atreseries;Share día: 1.2%;
2019-04-04;Atreseries;Share día: 1.1%;
2019-04-05;Atreseries;Share día: 1.4%;
2019-04-03;Atreseries;Share día: 1.2%;
2019-04-04;Atreseries;Share día: 1.1%;
2019-04-05;Atreseries;Share día: 1.4%;
2019-04-03;BOING;Share día: 0.8%;
2019-04-04;BOING;Share día: 0.8%;
2019-04-05;BOING;Share día: 1.1%;
2019-04-03;BOING;Share día: 0.8%;
2019-04-04;BOING;Share día: 0.8%;
2019-04-05;BOING;Share día: 1.1%;
2019-04-03;CLAN;Share día: 1.6%;
2019-04-04;CLAN;Share día: 1.8%;
2019-04-05;CLAN;Share día: 1.9%;
2019-04-03;CLAN;Share día: 1.6%;
2019-04-04;CLAN;Share día: 1.8%;
2019-04-05;CLAN;Share día: 1.9%;
2019-04-03;DIVINITY;Share día: 2.2%;
2019-04-04;DIVINITY;Share día: 1.8%;
2019-04-05;DIVINITY;Share día: 2.2%;
2019-04-03;DIVINITY;Share día: 2.2%;
2019-04-04;DIVINITY;Share día: 1.8%;
2019-04-05;DIVINITY;Share día: 2.2%;
2019-04-03;DISCOVERY-MAX;Share día: 1.6%;
2019-04-04;DISCOVERY-MAX;Share día: 1.6%;
2019-04-05;DISCOVERY-MAX;Share día: 1.7%;
2019-04-03;DISCOVERY-MAX;Share día: 1.6%;
2019-04-04;DISCOVERY-MAX;Share día: 1.6%;
2019-04-05;DISCOVERY-MAX;Share día: 1.7%;
2019-04-03;ENERGY;Share día: 1.7%;
2019-04-04;ENERGY;Share día: 1.9%;
2019-04-05;ENERGY;Share día: 2.6%;
2019-04-03;ENERGY;Share día: 1.7%;
2019-04-04;ENERGY;Share día: 1.9%;
2019-04-05;ENERGY;Share día: 2.6%;
2019-04-03;FDF;Share día: 2.5%;
2019-04-04;FDF;Share día: 2.7%;
2019-04-05;FDF;Share día: 3%;
2019-04-03;FDF;Share día: 2.5%;
2019-04-04;FDF;Share día: 2.7%;
2019-04-05;FDF;Share día: 3%;
2019-04-03;ANTENA-3-MEGA;Share día: 1.6%;
2019-04-04;ANTENA-3-MEGA;Share día: 1.5%;
2019-04-05;ANTENA-3-MEGA;Share día: 1.6%;
2019-04-03;ANTENA-3-MEGA;Share día: 1.6%;
2019-04-04;ANTENA-3-MEGA;Share día: 1.5%;
2019-04-05;ANTENA-3-MEGA;Share día: 1.6%;
2019-04-03;ANTENA-3-NEOX;Share día: 2.5%;
2019-04-04;ANTENA-3-NEOX;Share día: 2.5%;
2019-04-05;ANTENA-3-NEOX;Share día: 2.9%;
2019-04-03;ANTENA-3-NEOX;Share día: 2.5%;
2019-04-04;ANTENA-3-NEOX;Share día: 2.5%;
2019-04-05;ANTENA-3-NEOX;Share día: 2.9%;
2019-04-03;ANTENA-3-NOVA;Share día: 2.3%;
2019-04-04;ANTENA-3-NOVA;Share día: 2.2%;
2019-04-05;ANTENA-3-NOVA;Share día: 2.2%;
2019-04-03;ANTENA-3-NOVA;Share día: 2.3%;
2019-04-04;ANTENA-3-NOVA;Share día: 2.2%;
2019-04-05;ANTENA-3-NOVA;Share día: 2.2%;
2019-04-03;TELEDEPORTE;Share día: 0.4%;
2019-04-04;TELEDEPORTE;Share día: 0.3%;
2019-04-05;TELEDEPORTE;Share día: 0.4%;
2019-04-03;TELEDEPORTE;Share día: 0.4%;
2019-04-04;TELEDEPORTE;Share día: 0.3%;
2019-04-05;TELEDEPORTE;Share día: 0.4%;
2019-04-03;TRECE;Share día: 1.8%;
2019-04-04;TRECE;Share día: 2.1%;
2019-04-05;TRECE;Share día: 1.9%;
2019-04-03;TRECE;Share día: 1.8%;
2019-04-04;TRECE;Share día: 2.1%;
2019-04-05;TRECE;Share día: 1.9%;
